Category,Item_Code,Price,Quantity
2,mm,0.047,5824
2,mm,0.08,1
2,mm,0.502,5455
2,fu,0.006,768
2,fu,0.012,69
2,fu,0.034,244
2,fu,0.045,5842
2,fu,0.136,1
2,fu,0.502,5782
2,ub,0.006,802
2,ub,0.094,2
2,ub,0.098,1
2,ub,0.283,166
2,ub,0.378,3910
2,ub,0.502,5477
2,tw,0.012,61
2,tw,0.016,459
2,tw,0.034,244
2,tw,0.046,5836
2,tw,0.054,1
2,tw,0.098,1
2,tw,0.502,5860
2,mb,0.006,803
2,mb,0.012,65
2,mb,0.027,244
2,mb,0.035,5842
2,mb,0.067,633
2,mb,0.502,10105
2,mo,0.006,688
2,mo,0.116,1
2,mo,0.139,244
2,mo,0.185,5836
2,mo,0.502,5706
2,tn,0.006,593
2,tn,0.034,226
2,tn,0.046,5824
2,tn,0.098,1
2,tn,0.234,384
2,tn,0.502,5141
2,tx,0.045,607
2,tx,0.068,1
2,tx,0.126,11492
2,dr,0.034,577
2,dr,0.054,1
2,dr,0.059,244
2,dr,0.079,5842
2,dr,0.177,1
2,dr,0.226,5855
2,zk,0.006,591
2,zk,0.068,1
2,zk,0.248,244
2,zk,0.331,5842
2,zk,0.384,5667
2,kc,0.006,663
2,kc,0.08,1
2,kc,0.196,1
2,kc,0.275,244
2,kc,0.367,5842
2,kc,0.502,5362
2,nf,0.054,244
2,nf,0.072,5842
2,nf,0.078,1
2,nf,0.079,6122
2,kt,0.063,792
2,kt,0.072,238
2,kt,0.078,145
2,kt,0.08,1
2,kt,0.096,5836
2,kt,0.11,5948
2,qq,0.068,1
2,qq,0.08,1
2,qq,0.115,30
2,qq,0.138,756
2,qq,0.17,244
2,qq,0.226,5842
2,qq,0.25,5536
2,nv,0.006,639
2,nv,0.047,70
2,nv,0.056,244
2,nv,0.075,5842
2,nv,0.078,1
2,nv,0.08,1
2,nv,0.502,5475
2,ab,0.116,1
2,ab,0.232,244
2,ab,0.31,5842
2,ab,0.502,5198
2,pm,0.006,830
2,pm,0.012,88
2,pm,0.035,244
2,pm,0.047,5842
2,pm,0.078,1
2,pm,0.502,5667
2,abq,0.006,711
2,abq,0.051,11286
2,bl,0.006,649
2,bl,0.039,244
2,bl,0.052,5824
2,bl,0.116,1
2,bl,0.502,5436
2,yu,0.006,710
2,yu,0.036,240
2,yu,0.047,11615
2,yl,0.006,772
2,yl,0.196,1
2,yl,0.215,244
2,yl,0.286,5842
2,yl,0.502,5362
2,zr,0.006,679
2,zr,0.078,1
2,zr,0.334,244
2,zr,0.446,5842
2,zr,1.302,5427
2,li,0.006,587
2,li,0.031,244
2,li,0.042,5842
2,li,0.071,5610
2,iq,0.095,244
2,iq,0.127,5842
2,iq,0.158,5065
2,ew,0.006,561
2,ew,0.064,244
2,ew,0.08,1
2,ew,0.086,5842
2,ew,0.087,1
2,ew,0.126,5684
2,ls,0.11,11139
2,ka,0.006,588
2,ka,0.185,532
2,ka,0.228,244
2,ka,0.304,5842
2,ka,0.308,5017
2,kf,0.019,774
2,kf,0.05,244
2,kf,0.066,5842
2,kf,0.098,1
2,kf,0.502,5499
2,mj,0.006,703
2,mj,0.02,244
2,mj,0.027,5842
2,mj,0.068,1
2,mj,0.08,1
2,mj,0.502,5650
2,mc,0.006,596
2,mc,0.078,1
2,mc,0.2,11365
2,zh,0.006,546
2,zh,0.047,11527
2,gp,0.039,244
2,gp,0.051,5794
2,gp,0.054,1
2,gp,0.502,5238
2,rl,0.035,345
2,rl,0.047,14365
2,nz,0.006,529
2,nz,0.048,244
2,nz,0.063,5842
2,nz,0.094,1
2,nz,0.196,1
2,nz,0.502,5544
2,et,0.006,663
2,et,0.032,11269
2,df,0.036,694
2,df,0.063,244
2,df,0.083,5842
2,df,0.196,1
2,df,0.502,5203
2,wc,0.116,1
2,wc,0.119,11118
2,vj,0.122,244
2,vj,0.158,6023
2,oq,0.042,244
2,oq,0.056,5818
2,oq,0.095,5069
2,tf,0.051,11137
2,ads,0.014,6086
2,ads,1.25,5171
2,me,0.006,700
2,me,0.078,1
2,me,0.08,245
2,me,0.107,5836
2,me,0.158,5432
2,mv,0.099,694
2,mv,0.112,244
2,mv,0.15,5842
2,mv,0.314,5183
2,za,0.091,224
2,za,0.098,1
2,za,0.122,5816
2,za,0.174,1
2,za,0.502,66
2,xk,0.089,684
2,xk,0.094,1
2,xk,0.131,232
2,xk,0.158,11484
2,pf,0.046,732
2,pf,0.054,1
2,pf,0.071,244
2,pf,0.095,5842
2,pf,0.098,1
2,pf,0.502,5499
2,yw,0.006,668
2,yw,0.018,244
2,yw,0.024,5842
2,yw,0.098,1
2,yw,0.118,663
2,yw,0.502,5118
2,ng,0.093,244
2,ng,0.111,62
2,ng,0.123,5842
2,ng,0.235,119
2,bhl,0.107,150960
2,agb,0.006,763
2,agb,0.107,244
2,agb,0.142,5842
2,agb,0.251,445
2,abn,1.067,157352
2,ki,0.054,1
2,ki,0.222,244
2,ki,0.295,5842
2,ki,0.467,156979
2,jl,0.094,1
2,jl,0.294,244
2,jl,0.392,5842
2,jl,0.4,156010
2,gmsg,1,148
2,ip,0.006,511
2,ip,0.068,244
2,ip,0.091,5842
2,ip,0.158,383
2,gr,0.108,244
2,gr,0.144,5842
2,gr,0.235,200
2,ot,0.627,4843
2,dp,0.006,747
2,dp,0.012,87
2,dp,0.016,16808
2,jj,0.035,228
2,jj,0.046,5826
2,jj,0.047,5063
2,kl,0.032,111
2,gm,0.063,11151
2,xe,0.01,5764
2,xe,0.011,244
2,bx,0.093,244
2,bx,0.123,5842
2,bx,0.22,5064
2,fs,0.16,244
2,fs,0.212,5842
2,fs,0.235,156
2,ajj,0.08,162051
46,vi,0.018,84
46,vi,0.035,532
46,vi,0.038,12
46,vi,0.045,532
46,vi,0.055,751
46,vi,0.255,248
46,vi,0.334,17
46,vi,0.835,1670
46,mc,0.006,574
46,mc,0.018,103
46,mc,0.135,568
46,mc,0.143,24
46,mc,0.17,568
46,mc,0.4,17
46,mc,1.314,1607
46,xk,0.006,597
46,xk,0.018,100
46,xk,0.1,24
46,xk,0.128,568
46,xk,0.171,568
46,xk,0.467,17
46,xk,0.908,223
46,xk,1.003,1629
46,an,0.006,564
46,an,0.018,103
46,an,0.052,568
46,an,0.055,24
46,an,0.066,568
46,an,0.734,17
46,an,1.205,1492
46,ds,0.007,905
46,ds,0.008,560
46,ds,0.018,67
46,ds,0.019,721
46,ds,0.067,1
46,ds,0.074,124
46,ds,0.075,673
46,ds,0.079,18
46,ds,0.099,124
46,ds,0.534,14
46,ds,0.756,391
46,ds,0.835,1828
46,zr,0.006,718
46,zr,0.018,103
46,zr,0.067,17
46,zr,0.212,24
46,zr,0.334,568
46,zr,0.446,568
46,zr,1.302,1655
46,ls,0.018,103
46,ls,0.146,568
46,ls,0.154,24
46,ls,0.185,568
46,ls,0.267,17
46,ls,0.384,1402
46,zk,0.006,748
46,zk,0.018,103
46,zk,0.148,568
46,zk,0.158,24
46,zk,0.188,568
46,zk,0.4,17
46,zk,1.119,1738
46,pm,0.018,102
46,pm,0.035,24
46,pm,0.051,562
46,pm,0.06,562
46,pm,0.134,17
46,pm,0.214,549
46,pm,0.551,363
46,pm,0.587,1325
46,yl,0.006,708
46,yl,0.018,103
46,yl,0.031,90
46,yl,0.056,568
46,yl,0.06,24
46,yl,0.072,568
46,yl,0.2,17
46,yl,0.412,362
46,yl,0.451,1611
46,im,0.006,717
46,im,0.018,101
46,im,0.151,526
46,im,0.16,18
46,im,0.2,526
46,im,0.6,17
46,im,0.919,494
46,qq,0.006,631
46,qq,0.018,103
46,qq,0.07,90
46,qq,0.091,568
46,qq,0.096,24
46,qq,0.122,568
46,qq,0.35,291
46,qq,0.392,1718
46,ka,0.006,703
46,ka,0.018,103
46,ka,0.143,568
46,ka,0.144,24
46,ka,0.182,568
46,ka,0.185,568
46,ka,1,17
46,ka,1.769,1326
46,lf,0.006,776
46,lf,0.018,14
46,lf,0.075,408
46,lf,0.084,18
46,lf,0.095,408
46,lf,0.158,259
46,lf,0.334,14
46,lf,0.484,1539
46,ew,0.006,685
46,ew,0.018,102
46,ew,0.054,24
46,ew,0.068,568
46,ew,0.087,568
46,ew,0.667,17
46,ew,0.906,329
46,ew,1.003,1655
46,wc,0.018,103
46,wc,0.159,24
46,wc,0.251,568
46,wc,0.267,17
46,wc,0.334,568
46,wc,0.384,1387
46,uk,0.018,101
46,uk,0.132,90
46,uk,0.135,705
46,uk,0.178,18
46,uk,0.279,556
46,uk,0.354,556
46,uk,0.467,17
46,uk,0.547,236
46,uk,0.627,1843
46,mm,0.018,94
46,mm,0.019,200
46,mm,0.02,397
46,mm,0.035,520
46,mm,0.036,12
46,mm,0.046,520
46,mm,0.4,16
